date,open,high,low,close,adjusted_close,volume
2021-07-21,2615.74,2652.345,2612.03,2652.01,132.4498,14741640
2021-07-22,2653.0,2670.09,2648.0,2666.57,133.1769,13608140
2021-07-23,2705.2,2776.17,2694.01,2756.32,137.6593,26377740
2021-07-26,2765.0,2794.26,2753.02,2792.89,139.4858,23052460
2021-07-27,2800.22,2800.22,2702.0,2735.93,136.641,42163060
2021-07-28,2771.24,2793.52,2727.0,2727.63,136.2265,54688340
2021-07-29,2727.612,2743.03,2722.76,2730.81,136.3853,19283340
2021-07-30,2710.22,2715.427,2696.284,2704.42,135.0673,23954500
2021-08-02,2709.69,2720.41,2693.39,2719.79,135.8349,20140040
2021-08-03,2720.0,2726.71,2683.67,2725.6,136.1251,19064000
2021-08-04,2724.99,2730.76,2708.3,2720.57,135.8739,16527140
2021-08-05,2720.57,2739.0,2712.0,2738.8,136.7843,11871780
2021-08-06,2725.9,2741.601,2720.93,2740.72,136.8802,13565020
2021-08-09,2738.98,2766.43,2728.575,2760.04,137.8451,12379560
2021-08-10,2761.59,2771.03,2744.53,2761.93,137.9395,16039080
2021-08-11,2765.66,2776.955,2747.0,2753.79,137.533,15209660
2021-08-12,2754.26,2768.36,2735.58,2767.79,138.2322,14649400
2021-08-13,2767.15,2773.48,2760.1,2768.12,138.2487,12580580
2021-08-16,2760.0,2779.81,2723.315,2778.32,138.7581,18050840
2021-08-17,2763.82,2774.37,2735.75,2746.01,137.1444,21274020
2021-08-18,2742.31,2765.88,2728.42,2731.4,136.4148,14934460
2021-08-19,2709.35,2749.04,2707.12,2738.27,136.7579,18295920
2021-08-20,2741.66,2772.29,2729.34,2768.74,138.2796,15566740
2021-08-23,2779.97,2843.54,2774.958,2821.99,140.9391,21089680
2021-08-24,2830.87,2860.15,2827.07,2847.97,142.2366,15126260
2021-08-25,2857.66,2866.26,2848.79,2859.0,142.7875,12843060
2021-08-26,2852.37,2862.696,2841.83,2842.46,141.9615,14922000
2021-08-27,2842.25,2900.22,2840.4,2891.01,144.3862,24568240
2021-08-30,2894.09,2929.79,2892.0,2909.39,145.3041,16915900
2021-08-31,2917.69,2922.24,2900.0,2909.24,145.2967,26756420
2021-09-01,2913.0,2936.41,2912.29,2916.84,145.6762,15824680
2021-09-02,2918.99,2926.5,2882.13,2884.38,144.0551,21855800
2021-09-03,2882.92,2907.54,2870.1,2895.5,144.6104,19110480
2021-09-07,2894.99,2916.48,2890.82,2910.38,145.3536,15172600
2021-09-08,2907.87,2911.02,2884.0,2897.67,144.7188,15491660
2021-09-09,2897.67,2913.39,2888.68,2898.27,144.7488,14798560
2021-09-10,2908.87,2920.38,2834.83,2838.42,141.7597,32896620
2021-09-13,2864.02,2883.82,2845.65,2869.3,143.3019,20175620
2021-09-14,2883.22,2894.55,2858.11,2868.12,143.243,18919140
2021-09-15,2875.18,2911.63,2845.12,2904.12,145.0409,20653420
2021-09-16,2902.42,2904.0,2868.327,2887.47,144.2094,20298840
2021-09-17,2875.97,2884.99,2821.23,2829.27,141.3027,60039820
2021-09-20,2780.004,2787.25,2741.06,2780.34,138.859,34917720
2021-09-21,2802.34,2816.233,2778.11,2792.93,139.4878,18129380
2021-09-22,2801.01,2831.67,2789.435,2818.77,140.7783,22067800
2021-09-23,2832.19,2845.049,2821.93,2836.53,141.6653,17276100
2021-09-24,2818.92,2858.07,2817.01,2852.66,142.4709,14949340
2021-09-27,2831.71,2850.0,2810.0,2830.02,141.3402,18844080
2021-09-28,2781.77,2792.13,2714.0,2723.68,136.0292,42189660
2021-09-29,2742.194,2747.97,2685.0,2690.42,134.3681,26337220
2021-09-30,2686.5,2711.8,2660.0,2665.31,133.114,35363980
2021-10-01,2671.09,2741.42,2667.55,2729.25,136.3074,28387300
2021-10-04,2713.99,2714.0,2623.33,2675.3,133.613,31529900
2021-10-05,2680.0,2747.24,2680.0,2723.54,136.0222,24126740
2021-10-06,2692.51,2757.04,2689.73,2747.08,137.1979,19764320
2021-10-07,2777.26,2803.089,2771.26,2783.71,139.0273,18250460
2021-10-08,2798.12,2806.34,2788.587,2801.12,139.8968,18928420
2021-10-11,2796.0,2815.272,2776.13,2776.95,138.6897,16584760
2021-10-12,2792.75,2793.9,2725.0,2734.26,136.5576,22535020
2021-10-13,2755.0,2771.0,2739.53,2758.0,137.7433,16393280
2021-10-14,2799.04,2833.03,2786.78,2828.24,141.2513,21437560
2021-10-15,2844.0,2844.0,2821.29,2833.5,141.514,21253360
2021-10-18,2824.27,2859.975,2824.27,2859.21,142.798,16567200
2021-10-19,2865.83,2882.14,2861.92,2876.44,143.6585,15315840
2021-10-20,2884.45,2884.955,2838.24,2848.3,142.2531,17939500
2021-10-21,2843.84,2856.99,2832.74,2855.61,142.6182,14849920
2021-10-22,2807.02,2831.17,2743.41,2772.5,138.4674,30182640
2021-10-25,2776.21,2784.116,2734.97,2775.46,138.6153,21081700
2021-10-26,2812.12,2816.79,2780.11,2793.44,139.5132,28258740
2021-10-27,2798.05,2982.36,2798.05,2928.55,146.2611,51850920
2021-10-28,2945.98,2948.49,2895.27,2922.58,145.9629,32418060
2021-10-29,2910.4,2972.26,2903.33,2965.41,148.102,28954500
2021-11-01,2963.3,2967.99,2871.59,2875.48,143.6106,32272100
2021-11-02,2896.188,2938.41,2892.82,2917.26,145.6972,21150580
2021-11-03,2925.5,2938.21,2901.07,2935.8,146.6231,17886600
2021-11-04,2944.0,2999.0,2932.7,2973.66,148.514,24700800
2021-11-05,2987.07,3011.415,2973.04,2984.82,149.0714,20408140
2021-11-08,3000.0,3020.69,2982.4,2987.03,149.1817,18388140
2021-11-09,2994.92,3007.57,2950.14,2984.97,149.0789,16875560
2021-11-10,2960.195,2974.0,2906.5,2932.52,146.4593,22708320
2021-11-11,2942.14,2970.045,2933.89,2934.96,146.5812,12463100
2021-11-12,2956.63,2997.19,2929.08,2992.91,149.4754,17047660
2021-11-15,3000.0,3009.54,2973.05,2987.76,149.2182,16247340
2021-11-16,2983.41,2996.65,2967.0,2981.52,148.9065,17254860
2021-11-17,2984.58,2992.52,2971.26,2981.24,148.8926,15290820
2021-11-18,2982.92,3032.2,2979.97,3014.18,150.5377,26682400
2021-11-19,3020.0,3037.0,2997.75,2999.05,149.7821,19782960
2021-11-22,3002.835,3014.89,2940.11,2941.57,146.9113,24627700
